nombre_tortuga,estacion,fecha,area_de_monitoreo,posicion_lat_long,hora_de_captura,especie,peso,sexo,l_r_c,l_c_c,a_r_c,a_c_c,p_c,l_p,l_t_c,marca_nombre,marca_izquierda,fecha_inicio,hora_inicio,hora_fin,total_horas,tipo_monitoreo,metodologia,latitud,longitud,unidad_utm_o_grados,hora_captura,material_marcas,marca_previa_izquierda,comentarios,especie_nombre_latino,sexo_correcto,lugar,geografía,numero_recaptura,año,mes,mes_nombre
Toño Astiazaran,NA,2021-06-30T00:00:00Z,Pta. Blanca Laguna la Cruz,NA,NA,Verde/Prieta,27,Indefinido,58.8,62.5,45.5,59.7,22.4,46.2,11.5,GT 17826,GT 17827,2021-06-30T00:00:00Z,0.3333333333333333,0.7291666666666666,9.3,Mensual,Red fija,NA,NA,grados,0.48680555555555555,Metal,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,6,jun
Briana-recaptura,NA,2021-06-30T00:00:00Z,Pta. Blanca Laguna la Cruz,NA,NA,Verde/Prieta,26,Indefinido,63.4,68,51.6,67.8,25,50.4,13,GT 11482,NA,2021-06-30T00:00:00Z,0.3333333333333333,0.7291666666666666,9.3,Mensual,Red fija,NA,NA,grados,0.4930555555555556,Metal,GT 11483,Recaptura del 23/03/2018,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,6,jun
Dayna,NA,2021-06-30T00:00:00Z,Pta. Blanca Laguna la Cruz,NA,NA,Verde/Prieta,18,Indefinido,48,51.5,40.1,52,20,39,9,GT 17828,GT 17829,2021-06-30T00:00:00Z,0.3333333333333333,0.7291666666666666,9.3,Mensual,Red fija,NA,NA,grados,0.5,Metal,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,6,jun
Victorio,NA,2021-06-30T00:00:00Z,Pta. Blanca Laguna la Cruz,NA,NA,Verde/Prieta,14,Indefinido,46.8,49.6,39.9,48.5,17.8,37.1,8.5,GT 17830,GT 17831,2021-06-30T00:00:00Z,0.3333333333333333,0.7291666666666666,9.3,Mensual,Red fija,NA,NA,grados,0.5006944444444444,Metal,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,6,jun
Noel,NA,2021-06-30T00:00:00Z,Pta. Blanca Laguna la Cruz,NA,NA,Verde/Prieta,30,Indefinido,59.1,62.6,46.3,59,25.2,48.5,11,GT 17832,GT 17833,2021-06-30T00:00:00Z,0.3333333333333333,0.7291666666666666,9.3,Mensual,Red fija,NA,NA,grados,0.5069444444444444,Metal,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,6,jun
Calambrina,NA,2021-06-30T00:00:00Z,Pta. Blanca Laguna la Cruz,NA,NA,Verde/Prieta,54,Hembra,72.8,77,55.2,73.5,29.7,57.4,18.5,GT 16996,GT 16997,2021-06-30T00:00:00Z,0.3333333333333333,0.7291666666666666,9.3,Mensual,Red fija,NA,NA,grados,0.5104166666666666,Metal,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,2,2021,6,jun
Porfin,NA,2021-06-30T00:00:00Z,Pta. Blanca Laguna la Cruz,NA,NA,Verde/Prieta,32,Indefinido,61.8,65,50,64.3,23.8,49.6,18.6,GT 17834,GT 17835,2021-06-30T00:00:00Z,0.3333333333333333,0.7291666666666666,9.3,Mensual,Red fija,NA,NA,grados,0.5180555555555556,Metal,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,6,jun
Sofoco,NA,2021-07-17T00:00:00Z,'Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,37,Indefinido,65.7,70,51.5,67.3,25.5,52.9,12,GT 17836,GT 17837,2021-07-17T00:00:00Z,0.375,0.6666666666666666,7,Mensual,Red fija,NA,NA,grados,0.40625,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,7,jul
Lidia-recaptura,NA,2021-07-17T00:00:00Z,'Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,41,Indefinido,66,71,51.7,67,26.7,51.5,15.5,GT 11587,NA,2021-07-17T00:00:00Z,0.375,0.6666666666666666,7,Mensual,Red fija,NA,NA,grados,0.40902777777777777,Metal,GT 11588,NA,Chelonia mydas,Indefinido,NA,NA,2,2021,7,jul
Hans-Rodolph-recaptura,NA,2021-07-17T00:00:00Z,'Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,46,Indefinido,68.4,73.5,53.8,68.5,26.7,56.6,17,GT 11469,NA,2021-07-17T00:00:00Z,0.375,0.6666666666666666,7,Mensual,Red fija,NA,NA,grados,0.40972222222222227,Metal,GT 11468,Recaptua del 8 de Abril del 2018,Chelonia mydas,Indefinido,NA,NA,1,2021,7,jul
Sara-recaptura,NA,2021-07-17T00:00:00Z,'Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,51,Hembra,72,79,56.5,72,29.4,57.1,14,GT 11589,NA,2021-07-17T00:00:00Z,0.375,0.6666666666666666,7,Mensual,Red fija,NA,NA,grados,0.4270833333333333,Metal,GT 11590,Recaptura del 14 de mayo del 2019,Chelonia mydas,Hembra,NA,NA,2,2021,7,jul
Jango-recaptura,NA,2021-07-17T00:00:00Z,'Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,78,Hembra,83,89,62,82,33.5,67.2,25,GT 11489,NA,2021-07-17T00:00:00Z,0.375,0.6666666666666666,7,Mensual,Red fija,NA,NA,grados,0.43402777777777773,Metal,GT 11490,Recaptura del 6 de mayo del 2018,Chelonia mydas,Hembra,NA,NA,3,2021,7,jul
La Paz,NA,2021-07-17T00:00:00Z,'Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,33,Indefinido,63,68.5,48.6,63,26.5,50.3,10,GT 17838,GT 17839,2021-07-17T00:00:00Z,0.375,0.6666666666666666,7,Mensual,Red fija,NA,NA,grados,0.4361111111111111,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,7,jul
Yayoi-recaptura,NA,2021-07-17T00:00:00Z,'Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,59,Hembra,77.8,83.5,57.7,78,30.6,59.8,21,GT 17840,NA,2021-07-17T00:00:00Z,0.375,0.6666666666666666,7,Mensual,Red fija,NA,NA,grados,0.4375,Metal,GT 10829,"recaptura del 17/06/2017, se le instalo una nueva",Chelonia mydas,Hembra,NA,NA,1,2021,7,jul
China,NA,2021-07-17T00:00:00Z,'Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,29,Indefinido,60.9,64.6,47,59,22.6,48.4,11.5,GT  17841,GT 17842,2021-07-17T00:00:00Z,0.375,0.6666666666666666,7,Mensual,Red fija,NA,NA,grados,0.4444444444444444,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,7,jul
Cachanilla,NA,2021-07-17T00:00:00Z,'Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,33,Indefinido,63.5,67.5,49.3,64.3,23.3,50.8,20,GT 17843,GT 17844,2021-07-17T00:00:00Z,0.375,0.6666666666666666,7,Mensual,Red fija,NA,NA,grados,0.4472222222222222,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,7,jul
Brianda,NA,2021-07-17T00:00:00Z,'Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,66,Hembra,78.8,84,61.6,77.5,30,61.2,20.1,GT 17845,GT 17846,2021-07-17T00:00:00Z,0.375,0.6666666666666666,7,Mensual,Red fija,NA,NA,grados,0.4548611111111111,Metal,NA,NA,Chelonia mydas,Hembra,NA,NA,1,2021,7,jul
Tacoma,NA,2021-07-17T00:00:00Z,'Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,41,Indefinido,67,72.2,51,64,26.8,54.7,15,GT 17847,GT 17848,2021-07-17T00:00:00Z,0.375,0.6666666666666666,7,Mensual,Red fija,NA,NA,grados,0.4618055555555556,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,7,jul
Jeeniffer-recaptura-3,NA,2021-07-17T00:00:00Z,'Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,33,Indefinido,64,68.5,46.7,60.2,23,51.6,13.5,GT 10870,NA,2021-07-17T00:00:00Z,0.375,0.6666666666666666,7,Mensual,Red fija,NA,NA,grados,0.46875,Metal,GT 12296,recaptura del 16 de julio 2017,Chelonia mydas,Indefinido,NA,NA,2,2021,7,jul
Irian Bebe,NA,2021-07-25T00:00:00Z,Punta Rabijunco - ISPM,NA,NA,Verde/Prieta,14,Indefinido,48.6,50,38.5,48.5,17.8,37.3,8.5,GT 17849,GT 17850,2021-07-25T00:00:00Z,0.3333333333333333,0.6666666666666666,8,Mensual,A mano/snorkel,NA,NA,grados,0.49374999999999997,Metal,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2021,7,jul
Viky,NA,2021-07-29T00:00:00Z,Punta Rabijunco - ISPM,NA,NA,Verde/Prieta,30,Indefinido,57.4,62,46.5,57.5,22.8,47.6,12,GT 15871,GT 17852,2021-07-29T00:00:00Z,0.3333333333333333,0.7083333333333334,9,Otro,A mano/snorkel,NA,NA,grados,0.4763888888888889,Metal,NA,Escudo extra central,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,2,2021,7,jul
Paquito,NA,2021-07-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,45,Hembra,68,74.5,52,69,26.7,54,18.5,GT 17853,GT 17854,2021-07-30T00:00:00Z,0.375,0.7083333333333334,9,Mensual,Red fija,NA,NA,grados,0.44027777777777777,Metal,NA,NA,Chelonia mydas,Hembra,NA,NA,1,2021,7,jul
Oakley-recaptura,NA,2021-07-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,75,Hembra,80.7,87,71.1,80.2,33.2,63.5,18.5,GT 11472,NA,2021-07-30T00:00:00Z,0.375,0.7083333333333334,8,Mensual,Red fija,NA,NA,grados,0.625,Metal,GT 11473,Recaptura del 4/08/2018,Chelonia mydas,Hembra,NA,NA,2,2021,7,jul
Misteriosa,NA,2021-07-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,20,Indefinido,53.4,57.3,42.4,55,19.2,41,10,GT 17855,GT 17856,2021-07-30T00:00:00Z,0.375,0.7083333333333334,8,Mensual,Red fija,NA,NA,grados,0.638888888888889,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,7,jul
La mentira,NA,2021-07-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,59,Hembra,75.2,80,59.2,74.6,29.3,60.3,17,GT 17857,GT 17858,2021-07-30T00:00:00Z,0.375,0.7083333333333334,8,Mensual,Red fija,NA,NA,grados,0.6597222222222222,Metal,NA,NA,Chelonia mydas,Hembra,NA,NA,1,2021,7,jul
Foley,NA,2021-08-12T00:00:00Z,A media travesia,NA,NA,Golfina,40,Macho,65,68.7,52,74,23.8,47.2,36,GT 17860,GT 17859,2021-08-12T00:00:00Z,0.2916666666666667,0.625,8,Mensual,rodeo,NA,NA,grados,0.3576388888888889,Metal,NA,SE capturo en la travesia Kino a ISPM,Lepidochelys olivacea,Macho,Mar Abierto,NA,1,2021,8,aug
La Estrenada,NA,2021-08-12T00:00:00Z,Barraballa - ISPM,NA,NA,Verde/Prieta,65,Hembra,75,81,57.9,76.5,31.5,60.7,18,GT 17861,GT 17862,2021-08-12T00:00:00Z,0.2916666666666667,0.625,8,Mensual,A mano/snorkel,NA,NA,grados,0.4826388888888889,Metal,NA,NA,Chelonia mydas,Hembra,Isla San Pedro Mártir,isla,1,2021,8,aug
Fiona,NA,2021-08-16T00:00:00Z,Punta Blanca Laguna la Cruz,NA,NA,Verde/Prieta,65,Hembra,81,88,57.9,80.8,29.9,63.8,17.5,GT 17874,GT 17875,2021-08-16T00:00:00Z,0.3333333333333333,0.625,7,Mensual,Red fija,NA,NA,grados,0.4673611111111111,Metal,NA,NA,Chelonia mydas,Hembra,Laguna La Cruz,estuario,1,2021,8,aug
Chikis,NA,2021-08-16T00:00:00Z,Punta Blanca Laguna la Cruz,NA,NA,Verde/Prieta,18,Indefinido,57,54.4,49,54,19.8,40,11,GT 17863,GT 17864,2021-08-16T00:00:00Z,0.3333333333333333,0.625,7,Mensual,Red fija,NA,NA,grados,0.5284722222222222,Metal,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,8,aug
Yurico,NA,2021-08-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,33,Indefinido,61.7,66,50,65.6,23.4,50.5,9,GT 17865,GT 17866,2021-08-30T00:00:00Z,0.3333333333333333,0.6458333333333334,7.5,Mensual,Red fija,NA,NA,grados,0.5819444444444445,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,8,aug
Romina Irian,NA,2021-09-14T00:00:00Z,Punta Blanca Laguna la Cruz,NA,NA,Verde/Prieta,40,Indefinido,66,69,51.5,65,54,24.5,16.5,GT 17868,GT 17867,2021-09-14T00:00:00Z,0.3333333333333333,0.625,7,Mensual,Red fija,NA,NA,grados,0.4548611111111111,Metal,NA,Se modifico la red,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,9,sep
Fam. Cortez,NA,2021-09-27T00:00:00Z,Pta. Rabijunco - ISPM,NA,NA,Verde/Prieta,31,Indefinido,61.5,65,46.4,58.5,23.7,49.4,15.4,GT 17869,GT 17870,2021-09-27T00:00:00Z,0.3333333333333333,0.6666666666666666,8,Mensual,A mano/snorkel,NA,NA,grados,0.5236111111111111,Metal,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2021,9,sep
Tilin,NA,2021-09-27T00:00:00Z,Pta. Rabijunco - ISPM,NA,NA,Verde/Prieta,38,Indefinido,63.7,67.5,50.8,64.5,25.5,51,12.5,GT 17871,GT 17872,2021-09-27T00:00:00Z,0.3333333333333333,0.6666666666666666,8,Mensual,A mano/snorkel,NA,NA,grados,0.5298611111111111,Metal,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2021,9,sep
Carlitos MF,NA,2021-09-27T00:00:00Z,Pta. Rabijunco - ISPM,NA,NA,Verde/Prieta,31,Indefinido,60,65,47.3,62,24,46.8,12,GT 17876,GT 17877,2021-09-27T00:00:00Z,0.3333333333333333,0.6666666666666666,8,Mensual,A mano/snorkel,NA,NA,grados,0.5694444444444444,Metal,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2021,9,sep
Natalia,NA,2021-09-28T00:00:00Z,Punta Blanca Laguna la Cruz,NA,NA,Verde/Prieta,31,Indefinido,62.3,67,45.7,62.5,25,48,13,GT 17878,GT 17879,2021-09-28T00:00:00Z,0.3333333333333333,0.6666666666666666,8,Mensual,Red fija,NA,NA,grados,0.4451388888888889,Metal,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,9,sep
Clohe,NA,2021-09-28T00:00:00Z,Punta Blanca Laguna la Cruz,NA,NA,Verde/Prieta,42,Indefinido,68.2,72,54,68.1,26,53.8,13,GT 17880,GT 17881,2021-09-28T00:00:00Z,0.3333333333333333,0.6666666666666666,8,Mensual,Red fija,NA,NA,grados,0.5493055555555556,Metal,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,9,sep
Selena,NA,2021-10-13T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,35,Indefinido,63.5,67.5,50.8,66.4,23.4,49.7,14,GT 17882,GT 17883,2021-10-13T00:00:00Z,0.3333333333333333,NA,9,Mensual,Red fija,NA,NA,grados,0.41180555555555554,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,10,oct
Yolanda Saldivar,NA,2021-10-13T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,35,Indefinido,66,72,50.3,67.8,24.9,50.5,10.5,GT 17884,GT 17885,2021-10-13T00:00:00Z,0.3333333333333333,NA,9,Mensual,Red fija,NA,NA,grados,NA,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,10,oct
Lozano,NA,2021-10-13T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,27,Indefinido,61.3,64.8,46.8,61.5,22.5,49.2,10,GT 17886,GT 17887,2021-10-13T00:00:00Z,0.3333333333333333,NA,9,Mensual,Red fija,NA,NA,grados,0.4395833333333334,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,10,oct
Eusebio,NA,2021-10-13T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,25,Indefinido,59.2,62.5,48.4,60.2,21.5,45.9,10.6,GT 17888,GT 17889,2021-10-13T00:00:00Z,0.3333333333333333,NA,9,Mensual,Red fija,NA,NA,grados,0.44166666666666665,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,10,oct
Anabell,NA,2021-10-13T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,25,Indefinido,50.6,61.5,44.3,57.5,21.2,45.4,11.5,GT 17890,GT 17891,2021-10-13T00:00:00Z,0.3333333333333333,NA,9,Mensual,Red fija,NA,NA,grados,0.46319444444444446,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,10,oct
Lupito,NA,2021-10-13T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,21,Indefinido,54.7,58.7,42.6,54.5,20.5,42.5,10,GT 17892,GT 17893,2021-10-13T00:00:00Z,0.3333333333333333,NA,9,Mensual,Red fija,NA,NA,grados,0.4666666666666666,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,10,oct
Aristoteles,NA,2021-10-13T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,34,Indefinido,64.2,68,50,67.7,22.8,51,12.5,GT 17894,GT 17895,2021-10-13T00:00:00Z,0.3333333333333333,NA,9,Mensual,Red fija,NA,NA,grados,0.48125,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,10,oct
Magdalena,NA,2021-10-13T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,83,Hembra,85.6,92,63.2,83.8,33.8,66,22,GT 17898,GT 17899,2021-10-13T00:00:00Z,0.3333333333333333,NA,9,Mensual,Red fija,NA,NA,grados,0.5305555555555556,Metal,NA,NA,Chelonia mydas,Hembra,NA,NA,1,2021,10,oct
Saturno,NA,2021-10-13T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,30,Indefinido,62,66.5,49,61.5,23.3,48.6,12,GT 17896,GT 17897,2021-10-13T00:00:00Z,0.3333333333333333,NA,9,Mensual,Red fija,NA,NA,grados,0.5277777777777778,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,10,oct
Rita - recaptura,NA,2021-10-13T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,50,Hembra,69,74,54.4,70.6,28,56,18,GT 17873,NA,2021-10-13T00:00:00Z,0.3333333333333333,NA,9,Mensual,Red fija,NA,NA,grados,0.5409722222222222,Metal,GT 11407,Recaptura del 14/08/2017 sin placa derecha y se le intalo otra nueva,Chelonia mydas,Hembra,NA,NA,2,2021,10,oct
Chiquilina - Recaptura,NA,2021-10-13T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,50,Hembra,76,75.2,55.6,72,26.1,55.1,16.5,GT 5259,GT 17900,2021-10-13T00:00:00Z,0.3333333333333333,NA,9,Mensual,Red fija,NA,NA,grados,NA,Metal,NA,Recaptura del 25/06/2015-sin placa izquierda y se le puso otra nueva,Chelonia mydas,Hembra,NA,NA,2,2021,10,oct
Gloria-recapturas,NA,2021-10-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,27,Indefinido,60,64.2,46.6,60.3,21.9,48.7,9.5,GT 16969,NA,2021-10-30T00:00:00Z,0.3541666666666667,0.6666666666666666,7.3,Mensual,Red fija,NA,NA,grados,0.40138888888888885,Metal,GT16968,Recaptura del 20/05/2021,Chelonia mydas,Indefinido,NA,NA,2,2021,10,oct
Zumyko,NA,2021-10-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,29,Indefinido,61.1,65,48,58,27,50,13,GT 17902,GT 17901,2021-10-30T00:00:00Z,0.3541666666666667,0.6666666666666666,7.3,Mensual,Red fija,NA,NA,grados,0.4277777777777778,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,10,oct
Trinidad,NA,2021-10-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,29,Indefinido,60,65.1,50.7,64,21,46.5,11,GT 17904,GT 17903,2021-10-30T00:00:00Z,0.3541666666666667,0.6666666666666666,7.3,Mensual,Red fija,NA,NA,grados,0.44236111111111115,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,2,2021,10,oct
Jose A.,NA,2021-10-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,54,Hembra,77,83.4,56.5,74.5,27,61,18.5,GT 17905,GT 17906,2021-10-30T00:00:00Z,0.3541666666666667,0.6666666666666666,7.3,Mensual,Red fija,NA,NA,grados,0.4479166666666667,Metal,NA,NA,Chelonia mydas,Hembra,NA,NA,1,2021,10,oct
La Mosca,NA,2021-10-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,45,Hembra,69.4,74,54,68.8,26,55.3,16.5,GT 17908,GT 17907,2021-10-30T00:00:00Z,0.3541666666666667,0.6666666666666666,7.3,Mensual,Red fija,NA,NA,grados,0.4583333333333333,Metal,NA,NA,Chelonia mydas,Hembra,NA,NA,1,2021,10,oct
Ema-recaptura,NA,2021-10-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,32,Indefinido,70.5,65,48.3,61.2,21.5,50.4,14,GT 16966,NA,2021-10-30T00:00:00Z,0.3541666666666667,0.6666666666666666,7.3,Mensual,Red fija,NA,NA,grados,0.4604166666666667,Metal,GT 16965,Recaptura del 20/05/2021,Chelonia mydas,Indefinido,NA,NA,2,2021,10,oct
Cesilia,NA,2021-10-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,35,Indefinido,65,70,49.6,64,24,51,14,GT 17910,GT 17909,2021-10-30T00:00:00Z,0.3541666666666667,0.6666666666666666,7.3,Mensual,Red fija,NA,NA,grados,0.47430555555555554,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,10,oct
Pilar,NA,2021-10-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,34,Indefinido,64.6,69,48.2,63.5,23.2,49.3,13,GT 17912,GT 17911,2021-10-30T00:00:00Z,0.3541666666666667,0.6666666666666666,7.3,Mensual,Red fija,NA,NA,grados,0.5208333333333334,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,2,2021,10,oct
Meredith,NA,2021-10-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,35,Indefinido,59.6,65.7,49,64,24.7,50,13.5,GT 17914,GT 17913,2021-10-30T00:00:00Z,0.3541666666666667,0.6666666666666666,7.3,Mensual,Red fija,NA,NA,grados,0.5229166666666667,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,2,2021,10,oct
Alicia B.,NA,2021-10-30T00:00:00Z,Y'' griega laguna la Cruz,NA,NA,Verde/Prieta,36,Indefinido,64.2,68.7,51,66,23.1,58,13.7,GT 17916,GT 17915,2021-10-30T00:00:00Z,0.3541666666666667,0.6666666666666666,7.3,Mensual,Red fija,NA,NA,grados,0.5256944444444445,Metal,NA,NA,Chelonia mydas,Indefinido,NA,NA,1,2021,10,oct
Lucio,NA,2021-11-06T00:00:00Z,La ventana -  ISPM,NA,NA,Verde/Prieta,26,Indefinido,59.1,63.8,48.3,62.5,20.9,46.4,9,GT 17917,GT 17918,2021-11-06T00:00:00Z,0.2916666666666667,0.6666666666666666,9,Mensual,A mano/snorkel,NA,NA,grados,0.47222222222222227,Metal,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2021,11,nov
Dakk,NA,2021-11-06T00:00:00Z,La ventana -  ISPM,NA,NA,Verde/Prieta,17,Indefinido,51,54.2,40.3,51.2,28,41.3,11,GT 17920,GT 17919,2021-11-06T00:00:00Z,0.2916666666666667,0.6666666666666666,9,Mensual,A mano/snorkel,NA,NA,grados,0.47500000000000003,Metal,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2021,11,nov
Paylu,NA,2021-11-06T00:00:00Z,La ventana -  ISPM,NA,NA,Verde/Prieta,14,Indefinido,47.3,51,38.3,50.5,17,36.5,8,GT 17922,GT 17921,2021-11-06T00:00:00Z,0.2916666666666667,0.6666666666666666,9,Mensual,A mano/snorkel,NA,NA,grados,0.4784722222222222,Metal,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2021,11,nov
Simon,NA,2021-11-06T00:00:00Z,La ventana -  ISPM,NA,NA,Verde/Prieta,22,Indefinido,44.7,58.8,43.6,53.5,20.9,43,12,GT 17924,GT 17923,2021-11-06T00:00:00Z,0.2916666666666667,0.6666666666666666,9,Mensual,A mano/snorkel,NA,NA,grados,0.4861111111111111,Metal,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2021,11,nov
Suzanne,NA,2021-11-06T00:00:00Z,La ventana -  ISPM,NA,NA,Verde/Prieta,20,Indefinido,52.6,55.5,43.6,53,17.2,40.8,10,GT 17926,GT 17925,2021-11-06T00:00:00Z,0.2916666666666667,0.6666666666666666,9,Mensual,A mano/snorkel,NA,NA,grados,0.5097222222222222,Metal,NA,NA,Chelonia mydas,Indefinido,Isla San Pedro Mártir,isla,1,2021,11,nov
Karen,NA,2021-11-10T00:00:00Z,Punta Blanca Laguna la Cruz,NA,NA,Verde/Prieta,33,Indefinido,63,68.6,50.8,67.2,23.5,51.7,12,GT 17928,GT 17927,2021-11-10T00:00:00Z,0.2916666666666667,0.625,8,Mensual,Red fija,NA,NA,grados,0.3513888888888889,Metal,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,11,nov
Adam,NA,2021-11-10T00:00:00Z,Punta Blanca Laguna la Cruz,NA,NA,Verde/Prieta,12,Indefinido,44.7,48.3,35.8,45,16.1,35,6.2,GT 17929,GT 17930,2021-11-10T00:00:00Z,0.2916666666666667,0.625,8,Mensual,Red fija,NA,NA,grados,0.37083333333333335,Metal,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,11,nov
Lilian-recaptura,NA,2021-11-10T00:00:00Z,Punta Blanca Laguna la Cruz,NA,NA,Verde/Prieta,40,Indefinido,66.9,73.4,53.4,68.5,25,54.6,13.5,GT 15719,NA,2021-11-10T00:00:00Z,0.2916666666666667,0.625,8,Mensual,Red fija,NA,NA,grados,0.47222222222222227,Metal,GT 15920,Capturada el 20 de mayo del 2020,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,2,2021,11,nov
Tayson,NA,2021-11-10T00:00:00Z,Punta Blanca Laguna la Cruz,NA,NA,Verde/Prieta,34,Indefinido,61.9,65.9,47.5,63,23.6,50.2,12.3,GT 17931,GT 17932,2021-11-10T00:00:00Z,0.2916666666666667,0.625,8,Mensual,Red fija,NA,NA,grados,0.5076388888888889,Metal,NA,NA,Chelonia mydas,Indefinido,Laguna La Cruz,estuario,1,2021,11,nov
